customer_id,customer_name,email,phone,city,state,pincode,signup_date,customer_segment,is_prime_member,lifetime_orders,avg_rating_given
CUST-00922,Rahul Chowdhury,rahul.chowdhury28@outlook.com,09709931145,Pune,MH,411001,2021-08-12 00:00:00,SMB,Yes,17,2.3
CUST-04911,bhavana patel,bhavana.patel521@gmail.com,91 98945-07693,Nagpur,MH,440001,25/07/2023 00:00,Enterprise,N,133,4.6
CUST-00280,aravind bose,aravind.bose368@outlook.com,9815078433,Madurai,TN,625001,10-03-2023,retail,Yes,142,3.2
CUST-03317,SURESH MEHTA,suresh.mehta950@gmail.com,9871475729,Mysuru,KA,570001,2023-08-04 00:00:00,Business,Y,62,4.5
CUST-00596,  Karthik Mehta  ,karthik.mehta781@gmail.com,9712649259,Gurugram,HR,122001,29-07-2023,SMB,Yes,94,2.3
CUST-01827,kavya mehta,kavya.mehta444@protonmail.com,9929222515,Ahmedabad,GJ,380001,2023-07-17 00:00:00,retail,1,138,4.4
CUST-04744,Rahul Raman,rahul.raman597@protonmail.com,91 97944-08032,Delhi,DL,110001,2022-05-09 00:00:00,SMB,N,83,3.7
CUST-02969,Arjun Raman,arjun.raman98@protonmail.com,9712860477,Nagpur,MH,440001,2022-11-02 00:00:00,Business,True,220,4.1
CUST-02818,revathi iyer,revathi.iyer149@protonmail.com,9685610992,Visakhapatnam,AP,530001,13-03-2023,Enterprise,False,150,4.6
CUST-03998,Meera Reddy,meera.reddy541@protonmail.com,9980843297,Chennai,TN,600001,2021-12-23 00:00:00,SMB,Y,170,2.1
CUST-00800,Deepa Kumar,deepa.kumar683@outlook.com,91 99728-89372,Chennai,TN,600001,29-12-2022,Business,Y,94,4.3
CUST-01737,revathi patel,revathi.patel567@gmail.com,9967302100,Coimbatore,TN,641001,08/08/2022 00:00,BUSINESS,0,62,3.0
CUST-03985,Sneha Verma,sneha.verma495@yahoo.in,9670208834,Nagpur,MH,440001,08-11-2022,retail,No,127,4.9
CUST-00483,Bhavana Menon,bhavana.menon211@gmail.com,9865539441,Chennai,TN,600001,19-09-2021,Enterprise,Y,220,4.8
CUST-04699,Fatima Patel,fatima.patel939@gmail.com,+91-99059 13341,Lucknow,UP,226001,20/08/2022 00:00,retail,N,11,5.0
CUST-03349,Swetha Singh,NA,+91-98999 71404,Pune,MH,411001,17/09/2021 00:00,SMB,1,166,4.8
CUST-01396,Anitha Das,anitha.das961@outlook.com,9963119182,Ahmedabad,GJ,380001,02/02/2023 00:00,Enterprise,1,214,3.3
